567.58	567.58	98-佇遐
569.36	569.36	99-遐的
571.37	571.37	99-遐的攏是我的
574.33	574.33	100-遐的
576.23	576.23	100-遐的人
578.07	578.07	101-遐
579.75	579.75	101-遐濟
581.32	581.32	101-遐慢
583.03	583.03	102-遐爾
585.23	585.23	102-遐爾燒
587.56	587.56	102-遐爾遠
589.89	589.89	103-薟
591.42	591.42	103-薟椒仔
593.67	593.67	103-臭尿薟
596.0	596.0	104-掀
597.89	597.89	104-掀開
600.19	600.19	104-掀報紙
602.35	602.35	105-現出
604.39	604.39	105-現出原形
607.01	607.01	106-現
609.02	609.02	106-現煮現食
611.81	611.81	106-看現現
614.3	614.3	107-現世
616.34	616.34	107-足現世
618.3	618.3	108-燃
620.45	620.45	108-燃火
622.22	622.22	108-燃茶
623.91	623.91	108-燃滾水
625.97	625.97	109-㧒
627.45	627.45	109-㧒捔
629.35	629.35	109-烏白㧒
631.27	631.27	110-囂俳
633.25	633.25	110-囂俳無落魄的久
636.39	636.39	110-做人毋通傷囂俳
639.94	639.94	111-欣羨
642.15	642.15	111-欣羨別人
644.39	644.39	112-形影
646.08	646.08	112-伊的形影
648.42	648.42	113-歇
649.6	649.6	113-歇晝
651.52	651.52	113-歇熱
653.47	653.47	113-歇寒
655.4	655.4	114-雄雄
657.64	657.64	114-雄雄想無
659.92	659.92	114-雄雄走出來
662.22	662.22	115-翕
663.33	663.33	115-翕油飯
665.82	665.82	115-天氣真翕
668.72	668.72	116-翕
670.29	670.29	116-翕相
672.13	672.13	117-彼
674.29	674.29	117-彼間厝
675.72	675.72	117-彼時
677.78	677.78	118-好佳哉
679.62	679.62	118-真好佳哉
681.62	681.62	119-好勢
683.68	683.68	119-講好勢
685.69	685.69	119-誠好勢
687.81	687.81	120-風颱
689.89	689.89	120-做風颱
692.17	692.17	120-風颱天
694.64	694.64	121-好
697.24	697.24	121-好奇
698.65	698.65	121-好玄
702.1	702.1	122-胡蠅
704.15	704.15	122-拍胡蠅
706.4	706.4	122-趕胡蠅
710.11	710.11	123-予
711.91	711.91	123-予你
713.96	713.96	123-予人請
715.92	715.92	124-撫
717.54	717.54	124-撫撫咧
719.22	719.22	125-拊
720.94	720.94	125-拊掉
723.07	723.07	125-拊仔
724.92	724.92	125-肉拊
726.72	726.72	125-拊魚拊
727.97	727.97	126-喝
729.1	729.1	126-喝拳
731.14	731.14	126-大聲喝
733.32	733.32	127-橫直
734.8	734.8	127-橫直攏仝款
737.4	737.4	128-翻頭
739.59	739.59	128-翻頭隨無看見人
743.33	743.33	128-翻頭隨轉來
745.75	745.75	129-凡勢
747.29	747.29	129-凡勢伊毋知
750.09	750.09	129-凡勢會落雨
752.73	752.73	130-法度
