"編號",建議用字,音讀,又音,對應華語,用例,異用字
423,瘦,sán,,瘦、貧瘠,瘦肉、瘦田,㾪
424,散赤,sàn-tshiah,,赤貧,"家庭散赤、散赤人",
425,散食,sàn-tsia̍h,,赤貧,"散食囡仔、散食人",
426,衫,sann,,衣服,穿衫、衫仔褲,
427,霎,sap,,小(雨),"霎霎仔雨、雨霎仔",
428,梢聲,sau-siann,,聲音沙啞,講話梢聲,莦聲
429,嗽,sàu,,咳嗽、口氣,"嗽甲真厲害、聲嗽",
430,細,sè,suè、serè,小、幼,細聲、細漢,
431,踅,seh̍,ser̍h,繞,"踅街、踅圓箍仔、踅踅唸",
432,生,senn,sinn,生鐵,生仔、生鍋,
433,生成,senn-sîng,"senn-tsiânn、sinn-sîng、sinn-tsiânn",天生,"生成這款形、爸母生成",
434,世,sì,,一生,一世人、出世,
435,四界,sì-kè,sì-kuè、sì-kerè,到處、處處,"四界踅、四界行、四界去",
436,序大,sī-tuā,,長輩,"有孝序大、鄉親序大",視大
437,閃爍,siám-sih,,閃爍,閃爍的天星,"閃熾、閃熠"
438,鉎,sian,san,鏽、汙垢,"生鉎、身軀全鉎",
439,仙,sián,,一分錢,"五仙錢、無半仙",銑
440,𤺪,siān,,疲倦、厭倦,人𤺪𤺪、厭𤺪,僐、倦
441,蟮蟲仔,siān-thâng-á,"siān-âng-á/siān-lâng-á/siān-tâng-á/sîn-âng-á",壁虎,蟮蟲仔食蠓蟲,
442,啥,siánn,sánn,什麼、啥,"啥貨、啥款、啥人",
443,啥物,siánn-mih,"sá/siá/sánn/sím/sám/siánn-mngh/mooh/mí",什麼,啥物代誌,"啥麼、啥乜"
444,唌,siânn,,引誘,"共人唌、臭臊唌胡蠅",
445,痟,siáu,,"瘋、神經錯亂、動物發情、失常、發狂、沉迷",起痟、痟股票,𤞚
446,數,siàu,,數目、帳目,算數、數簿,賬
447,數念,siàu-liām,,想念,數念伊,賬念,
448,少年,siàu-liân,,年少、年輕,"伊猶真少年、少年家",,
449,數想,siàu-siūnn,siàu-siōnn,妄想,"免數想、枵狗數想豬肝骨",賬想,
450,爍爁,sih-nah,"sih-nà/sinnh-nà",閃電,雷公爍爁,"爍乍、熠爁、熾爁、熠乍",
451,熟似,sik̍-sāi,,熟識,"無熟似、熟似人","熟姒、熟視",
452,心酸,sim-sng,,傷心、辛酸,"心酸流目屎、講心酸的",,
453,身軀,sin-khu,"sing-khu、hun-su",身體,"洗身軀、身軀勇壯",,
454,新婦,sin-pū,sim-pū,媳婦,"娶新婦、新婦仔",,
455,承,sîn,,接、接續,"承球、承水、承話尾",,
456,相借問,sio-tsioh-mn̄g,"sann-tsioh-mng/sio-tsioh-muī","打招呼、探望","見面著愛相借問",,
457,小可(仔),sió-khuá(-á),,稍微,"小可生理、小可仔鹹鹹",,
