45,抿,bín,,刷、刷子,齒抿仔、鞋抿仔,刡,[sound:minnan700-45-抿.mp3],[sound:minnan700-45-齒抿仔.mp3],[sound:minnan700-45-鞋抿仔.mp3],,,,閩南語
46,敏豆(仔),bín-tāu(-á),,四季豆,敏豆仔炒肉絲,,[sound:minnan700-46-敏豆(仔).mp3],[sound:minnan700-46-敏豆仔炒肉絲.mp3],,,,,閩南語
47,明仔載,bîn-á-tsài,miâ-á-tsài、bîn-nà-tsài,明天、明日,明仔載會好天,明仔再、明旦載,[sound:minnan700-47-明仔載.mp3],[sound:minnan700-47-明仔載會好天.mp3],,,,,閩南語
48,眠夢,bîn-bāng,,做夢,閣咧眠夢,,[sound:minnan700-48-眠夢.mp3],[sound:minnan700-48-閣咧眠夢.mp3],,,,,閩南語
49,面,bīn,,臉、面,面色、面熟,,[sound:minnan700-49-面.mp3],[sound:minnan700-49-面色.mp3],[sound:minnan700-49-面熟.mp3],,,,閩南語
50,無,bô,,無、沒有,無錢、無閒,,[sound:minnan700-50-無.mp3],[sound:minnan700-50-無錢.mp3],[sound:minnan700-50-無閒.mp3],,,,閩南語
51,無較縒,bô-khah-tsua̍h,,情況不會變得更好、於事無補,閣較講嘛無較縒,,[sound:minnan700-51-無較縒.mp3],[sound:minnan700-51-閣較講嘛無較縒.mp3],,,,,閩南語
52,無彩,bô-tshái,,可惜、白費,無彩錢、無彩工,無采,[sound:minnan700-52-無彩.mp3],[sound:minnan700-52-無彩錢.mp3],[sound:minnan700-52-無彩工.mp3],,,,閩南語
53,罔,bóng,,姑且、將就,罔看、罔食,,[sound:minnan700-53-罔.mp3],[sound:minnan700-53-罔看.mp3],[sound:minnan700-53-罔食.mp3],,,,閩南語
54,雺,bông,,大霧,罩雺、起雺、雺霧,濛、茫,[sound:minnan700-54-雺.mp3],[sound:minnan700-54-罩雺.mp3],[sound:minnan700-54-起雺.mp3],[sound:minnan700-54-雺霧.mp3],,,閩南語
55,某,bóo,,妻子、太太、老婆,翁仔某、某囝,姥,[sound:minnan700-55-某.mp3],[sound:minnan700-55-翁仔某.mp3],[sound:minnan700-55-某囝.mp3],,,,閩南語
56,舞,bú,,舞、胡搞,跳舞、烏白舞,,[sound:minnan700-56-舞.mp3],[sound:minnan700-56-跳舞.mp3],[sound:minnan700-56-烏白舞.mp3],,,,閩南語
57,母,bú,bó,母,阿母、老母,,[sound:minnan700-57-母.mp3],[sound:minnan700-57-阿母.mp3],[sound:minnan700-57-老母.mp3],,,,閩南語
58,尾,bué,bé、bér,尾巴、後面、尾,尾溜、尾後、一尾魚,,[sound:minnan700-58-尾.mp3],[sound:minnan700-58-尾溜.mp3],[sound:minnan700-58-尾後.mp3],[sound:minnan700-58-一尾魚.mp3],,,閩南語
